Gene	GeneName	LengthPI	TotalVariants	UniqueProteinVariants	UniqueCodingExons
390079	OR52E8 olfactory receptor family 52 subfamily E member 8	317	1	1	1
390081	OR52E4 olfactory receptor family 52 subfamily E member 4	312	1	1	1
440712	RHEX regulator of hemoglobinization and erythroid cell expansion	172	2	1	6
390083	OR56A3 olfactory receptor family 56 subfamily A member 3	315	1	1	1
390084	OR56A5 olfactory receptor family 56 subfamily A member 5	313	1	1	1
127943	FCRLB Fc receptor like B	426	6	5	8
390093	OR10A6 olfactory receptor family 10 subfamily A member 6 (gene/pseudogene)	314	1	1	1
85004	RERG RAS like estrogen regulated growth inhibitor	199	3	3	6
54093	SETD4 SET domain containing 4	440	15	4	13
116511	MAS1L MAS1 proto-oncogene like, G protein-coupled receptor	378	1	1	1
150472	CBWD2 COBW domain containing 2	395	11	10	20
160728	SLC5A8 solute carrier family 5 member 8	610	2	2	17
6443	SGCB sarcoglycan beta	318	1	1	6
7328	UBE2H ubiquitin conjugating enzyme E2 H	183	3	3	7
390110	ACCSL 1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like	568	3	3	18
390113	OR4X1 olfactory receptor family 4 subfamily X member 1 (gene/pseudogene)	305	1	1	1
56063	TMEM234 transmembrane protein 234	140	22	7	21
105378803	LRRC53 leucine rich repeat containing 53	1247	3	3	6
80777	CYB5B cytochrome b5 type B	150	1	1	5
100529144	CORO7-PAM16 CORO7-PAM16 readthrough	1048	1	1	31
160762	CCDC63 coiled-coil domain containing 63	563	7	4	12
139562	OTUD6A OTU deubiquitinase 6A	288	1	1	1
390142	OR5D13 olfactory receptor family 5 subfamily D member 13 (gene/pseudogene)	314	1	1	1
54101	RIPK4 receptor interacting serine/threonine kinase 4	784	1	1	8
390144	OR5D16 olfactory receptor family 5 subfamily D member 16	328	1	1	1
390148	OR5W2 olfactory receptor family 5 subfamily W member 2	310	1	1	1
390151	OR8H2 olfactory receptor family 8 subfamily H member 2	312	1	1	1
390152	OR8H3 olfactory receptor family 8 subfamily H member 3	312	1	1	1
160777	CCDC60 coiled-coil domain containing 60	550	7	6	16
390154	OR5T3 olfactory receptor family 5 subfamily T member 3	340	1	1	1
390155	OR5T1 olfactory receptor family 5 subfamily T member 1	326	1	1	1
390157	OR8K1 olfactory receptor family 8 subfamily K member 1	319	1	1	1
157869	SBSPON somatomedin B and thrombospondin type 1 domain containing	264	2	2	7
390162	OR5M9 olfactory receptor family 5 subfamily M member 9	310	1	1	1
124602	KIF19 kinesin family member 19	998	12	12	22
390167	OR5M10 olfactory receptor family 5 subfamily M member 10	315	1	1	1
390168	OR5M1 olfactory receptor family 5 subfamily M member 1	315	1	1	1
128025	WDR64 WD repeat domain 64	1081	8	7	33
390174	OR9G1 olfactory receptor family 9 subfamily G member 1	305	1	1	1
390181	OR5AK2 olfactory receptor family 5 subfamily AK member 2	309	1	1	1
102724652	CRYAA2 crystallin alpha A2	173	2	2	4
22953	P2RX2 purinergic receptor P2X 2	404	13	13	26
390190	OR5B2 olfactory receptor family 5 subfamily B member 2	309	1	1	1
390191	OR5B12 olfactory receptor family 5 subfamily B member 12	314	1	1	1
390195	OR5AN1 olfactory receptor family 5 subfamily AN member 1	311	1	1	1
390197	OR4D10 olfactory receptor family 4 subfamily D member 10	311	1	1	1
390199	OR4D9 olfactory receptor family 4 subfamily D member 9	314	1	1	1
390201	OR10V1 olfactory receptor family 10 subfamily V member 1	309	1	1	1
128061	C1orf131 chromosome 1 open reading frame 131	293	2	2	8
100529215	ZNF559-ZNF177 ZNF559-ZNF177 readthrough	321	2	2	6
29760	BLNK B cell linker	456	7	7	23
29761	USP25 ubiquitin specific peptidase 25	1125	17	14	36
29763	PACSIN3 protein kinase C and casein kinase substrate in neurons 3	424	3	1	9
390212	GPR152 G protein-coupled receptor 152	470	1	1	1
29765	TMOD4 tropomodulin 4	345	4	2	11
29766	TMOD3 tropomodulin 3	352	3	1	10
29767	TMOD2 tropomodulin 2	351	3	3	9
128077	LIX1L limb and CNS expressed 1 like	337	2	2	8
29775	CARD10 caspase recruitment domain family member 10	1032	1	1	20
474344	GIMAP6 GTPase, IMAP family member 6	362	3	3	4
29777	ABT1 activator of basal transcription 1	272	1	1	3
160851	DGKH diacylglycerol kinase eta	1220	6	5	32
29780	PARVB parvin beta	397	6	6	18
29781	NCAPH2 non-SMC condensin II complex subunit H2	606	6	6	26
390231	TRIM77 tripartite motif containing 77	450	2	2	6
100529240	ZNF816-ZNF321P ZNF816-ZNF321P readthrough	233	1	1	3
100529241	HSPE1-MOB4 HSPE1-MOB4 readthrough	261	1	1	9
389434	IYD iodotyrosine deiodinase	293	6	6	12
221400	TDRD6 tudor domain containing 6	2096	2	2	4
29789	OLA1 Obg like ATPase 1	396	2	2	10
390243	IZUMO1R IZUMO1 receptor, JUNO	250	1	1	4
29796	UQCR10 ubiquinol-cytochrome c reductase, complex III subunit X	63	2	2	3
390245	KDM4E lysine demethylase 4E	506	1	1	1
29799	YPEL1 yippee like 1	119	1	1	4
29800	ZDHHC1 zinc finger DHHC-type containing 1	482	7	7	15
100529257	SYNJ2BP-COX16 SYNJ2BP-COX16 readthrough	191	3	3	7
29802	VPREB3 V-set pre-B cell surrogate light chain 3	123	1	1	2
29803	REPIN1 replication initiator 1	624	15	3	5
100529261	CHURC1-FNTB CHURC1-FNTB readthrough	498	2	2	14
390259	BSX brain specific homeobox	233	1	1	3
390260	OR6X1 olfactory receptor family 6 subfamily X member 1	312	1	1	1
390261	OR6M1 olfactory receptor family 6 subfamily M member 1	313	1	1	1
390265	OR10G7 olfactory receptor family 10 subfamily G member 7	311	1	1	1
387263	C6orf120 chromosome 6 open reading frame 120	210	2	2	3
259197	NCR3 natural cytotoxicity triggering receptor 3	201	5	4	11
390271	OR8B3 olfactory receptor family 8 subfamily B member 3	313	4	1	2
160897	GPR180 G protein-coupled receptor 180	440	1	1	9
390275	OR8A1 olfactory receptor family 8 subfamily A member 1	326	1	1	1
105378949	LOC105378949 collagen alpha-2(VIII) chain-like	255	2	2	3
134111	UBE2QL1 ubiquitin conjugating enzyme E2 Q family like 1	161	1	1	2
105378955	LOC105378955 tripartite motif-containing protein 43B	196	1	1	3
259215	LY6G6F lymphocyte antigen 6 family member G6F	297	1	1	6
259217	HSPA12A heat shock protein family A (Hsp70) member 12A	675	6	5	14
29842	TFCP2L1 transcription factor CP2 like 1	479	5	5	20
29843	SENP1 SUMO1/sentrin specific peptidase 1	644	18	11	24
29844	TFPT TCF3 fusion partner	253	3	3	7
128153	SPATA17 spermatogenesis associated 17	361	4	3	14
29850	TRPM5 transient receptor potential cation channel subfamily M member 5	1165	2	2	28
29851	ICOS inducible T cell costimulator	199	1	1	5
259230	SGMS1 sphingomyelin synthase 1	413	5	2	7
29855	UBN1 ubinuclein 1	1134	12	10	21
259232	NALCN sodium leak channel, non-selective	1738	8	6	48
26090	ABHD12 abhydrolase domain containing 12	404	9	8	19
105378979	LOC105378979 growth/differentiation factor 3	188	1	1	2
259236	TMIE transmembrane inner ear	156	2	2	5
259239	WFDC11 WAP four-disulfide core domain 11	87	1	1	3
259240	WFDC9 WAP four-disulfide core domain 9	89	1	1	3
285521	COX18 COX18, cytochrome c oxidase assembly factor	334	7	7	9
388523	ZNF728 zinc finger protein 728	622	1	1	4
259249	MRGPRX1 MAS related GPR family member X1	322	1	1	1
128178	EDARADD EDAR associated death domain	215	2	2	7
390323	OR6C75 olfactory receptor family 6 subfamily C member 75	312	1	1	1
390327	OR6C70 olfactory receptor family 6 subfamily C member 70	312	1	1	1
29880	ALG5 ALG5, dolichyl-phosphate beta-glucosyltransferase	324	3	3	12
29881	NPC1L1 NPC1 like intracellular cholesterol transporter 1	1359	6	6	27
29882	ANAPC2 anaphase promoting complex subunit 2	822	1	1	13
29883	CNOT7 CCR4-NOT transcription complex subunit 7	307	17	6	10
29886	SNX8 sorting nexin 8	465	5	4	13
29887	SNX10 sorting nexin 10	227	11	5	9
29888	STRN4 striatin 4	760	11	10	22
29889	GNL2 G protein nucleolar 2	799	3	3	17
259266	ASPM abnormal spindle microtubule assembly	3477	2	2	28
29893	PSMC3IP PSMC3 interacting protein	217	5	4	9
29894	CPSF1 cleavage and polyadenylation specific factor 1	1443	7	4	38
29895	MYLPF myosin light chain, phosphorylatable, fast skeletal muscle	169	3	1	8
29896	TRA2A transformer 2 alpha homolog	282	8	4	10
100132911	DPH3P1 diphthamide biosynthesis 3 pseudogene 1	78	1	1	1
29899	GPSM2 G protein signaling modulator 2	684	9	3	20
6091	ROBO1 roundabout guidance receptor 1	1651	13	12	35
29901	SAC3D1 SAC3 domain containing 1	358	1	1	2
29902	FAM216A family with sequence similarity 216 member A	273	3	3	9
29903	CCDC106 coiled-coil domain containing 106	280	3	1	7
29904	EEF2K eukaryotic elongation factor 2 kinase	725	3	3	18
128209	KLF17 Kruppel like factor 17	389	4	4	7
29906	ST8SIA5 ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 5	412	5	5	9
29907	SNX15 sorting nexin 15	342	2	2	8
259285	TAS2R39 taste 2 receptor member 39	338	1	1	1
259286	TAS2R40 taste 2 receptor member 40	323	1	1	1
259287	TAS2R41 taste 2 receptor member 41	307	1	1	1
128218	TMEM125 transmembrane protein 125	219	4	1	1
29915	HCFC2 host cell factor C2	792	3	3	17
259292	TAS2R46 taste 2 receptor member 46	309	1	1	1
259293	TAS2R30 taste 2 receptor member 30	319	1	1	1
259294	TAS2R19 taste 2 receptor member 19	299	1	1	1
29919	RMC1 regulator of MON1-CCZ1	657	7	5	22
29920	PYCR2 pyrroline-5-carboxylate reductase 2	320	2	2	7
29922	NME7 NME/NM23 family member 7	376	5	4	16
29923	HILPDA hypoxia inducible lipid droplet associated	63	2	1	1
29924	EPN1 epsin 1	662	11	7	16
128229	TSACC TSSK6 activating cochaperone	143	11	3	6
29926	GMPPA GDP-mannose pyrophosphorylase A	420	17	9	19
56134	PCDHAC2 protocadherin alpha subfamily C, 2	1007	2	2	5
29928	TIMM22 translocase of inner mitochondrial membrane 22	194	1	1	4
29929	ALG6 ALG6, alpha-1,3-glucosyltransferase	507	1	1	14
29930	PCDHB1 protocadherin beta 1	818	1	1	1
107181291	PYDC5 pyrin domain containing 5	113	1	1	1
259308	FAM205A family with sequence similarity 205 member A	1335	1	1	4
29933	GPR132 G protein-coupled receptor 132	380	4	3	3
29934	SNX12 sorting nexin 12	162	5	4	6
128239	IQGAP3 IQ motif containing GTPase activating protein 3	1631	6	6	40
128240	NAXE NAD(P)HX epimerase	288	2	2	9
29937	NENF neudesin neurotrophic factor	172	1	1	4
23331	TTC28 tetratricopeptide repeat domain 28	2481	9	9	30
29941	PKN3 protein kinase N3	889	6	6	28
29942	PURG purine rich element binding protein G	322	4	2	5
29943	PADI1 peptidyl arginine deiminase 1	663	5	4	20
29944	PNMA3 PNMA family member 3	455	2	2	3
29945	ANAPC4 anaphase promoting complex subunit 4	809	6	6	30
29946	SERTAD3 SERTA domain containing 3	196	4	1	2
554235	ASPDH aspartate dehydrogenase domain containing	283	2	2	8
29948	OSGIN1 oxidative stress induced growth inhibitor 1	477	1	1	5
29949	IL19 interleukin 19	215	3	3	7
29950	SERTAD1 SERTA domain containing 1	236	1	1	1
29951	PDZRN4 PDZ domain containing ring finger 4	1036	2	2	11
29952	DPP7 dipeptidyl peptidase 7	492	7	7	20
29953	TRHDE thyrotropin releasing hormone degrading enzyme	1024	5	5	23
29954	POMT2 protein O-mannosyltransferase 2	750	7	6	24
29956	CERS2 ceramide synthase 2	380	4	2	13
29957	SLC25A24 solute carrier family 25 member 24	477	3	3	13
29958	DMGDH dimethylglycine dehydrogenase	866	4	4	19
22820	COPG1 coatomer protein complex subunit gamma 1	874	2	2	26
29960	MRM2 mitochondrial rRNA methyltransferase 2	246	1	1	3
207063	DHRSX dehydrogenase/reductase X-linked	330	1	1	7
29964	PRICKLE4 prickle planar cell polarity protein 4	384	1	1	6
29965	CDIP1 cell death inducing p53 target 1	208	4	3	6
29966	STRN3 striatin 3	797	4	4	20
29967	LRP12 LDL receptor related protein 12	859	2	2	7
128272	ARHGEF19 Rho guanine nucleotide exchange factor 19	802	2	1	16
29969	MDFIC MyoD family inhibitor domain containing	355	3	3	6
29970	SCHIP1 schwannomin interacting protein 1	487	4	4	10
29974	A1CF APOBEC1 complementation factor	602	11	5	14
85015	USP45 ubiquitin specific peptidase 45	814	12	7	21
55687	TRMU tRNA 5-methylaminomethyl-2-thiouridylate methyltransferase	421	12	10	13
29978	UBQLN2 ubiquilin 2	624	1	1	1
29979	UBQLN1 ubiquilin 1	589	3	3	13
29980	DONSON downstream neighbor of SON	566	1	1	10
390429	OR4N2 olfactory receptor family 4 subfamily N member 2	307	1	1	1
27443	CECR2 CECR2, histone acetyl-lysine reader	1464	7	7	24
390431	OR4K2 olfactory receptor family 4 subfamily K member 2	314	1	1	1
29984	RHOD ras homolog family member D	210	2	2	5
29985	SLC39A3 solute carrier family 39 member 3	314	2	2	3
29986	SLC39A2 solute carrier family 39 member 2	309	2	2	5
390436	OR4K17 olfactory receptor family 4 subfamily K member 17	343	1	1	1
29989	OBP2B odorant binding protein 2B	170	5	3	7
29990	PILRB paired immunoglobin-like type 2 receptor beta	227	1	1	4
164668	APOBEC3H apolipoprotein B mRNA editing enzyme catalytic subunit 3H	200	7	5	7
29992	PILRA paired immunoglobin like type 2 receptor alpha	303	3	3	7
29993	PACSIN1 protein kinase C and casein kinase substrate in neurons 1	444	3	1	10
29994	BAZ2B bromodomain adjacent to zinc finger domain 2B	2168	40	32	44
29995	LMCD1 LIM and cysteine rich domains 1	365	5	5	9
390445	OR5AU1 olfactory receptor family 5 subfamily AU member 1	362	1	1	1
29998	BICRA BRD4 interacting chromatin remodeling complex associated protein	1560	5	4	14
29999	FSCN3 fascin actin-bundling protein 3	498	1	1	6
30000	TNPO2 transportin 2	897	3	2	24
30001	ERO1A endoplasmic reticulum oxidoreductase 1 alpha	468	2	2	18
128308	MRPL55 mitochondrial ribosomal protein L55	164	15	2	7
22895	RPH3A rabphilin 3A	694	4	3	20
30008	EFEMP2 EGF containing fibulin extracellular matrix protein 2	443	1	1	10
30009	TBX21 T-box 21	535	2	2	9
30010	NXPH1 neurexophilin 1	271	1	1	2
30011	SH3KBP1 SH3 domain containing kinase binding protein 1	665	21	21	33
30012	TLX3 T cell leukemia homeobox 3	291	1	1	3
6455	SH3GL1 SH3 domain containing GRB2 like 1, endophilin A2	368	5	5	15
22822	PHLDA1 pleckstrin homology like domain family A member 1	401	1	1	1
100431172	KLRF2 killer cell lectin like receptor F2	207	1	1	6
100271927	RASA4B RAS p21 protein activator 4B	757	5	5	24
554313	HIST2H4B histone cluster 2 H4 family member b	103	1	1	1
51535	PPHLN1 periphilin 1	458	34	33	25
128338	DRAM2 DNA damage regulated autophagy modulator 2	266	9	2	8
23207	PLEKHM2 pleckstrin homology and RUN domain containing M2	1019	5	5	23
128344	PIFO primary cilia formation	191	4	4	9
128346	C1orf162 chromosome 1 open reading frame 162	155	6	3	6
102724957	LOC102724957 uncharacterized LOC102724957	112	3	1	4
22823	MTF2 metal response element binding transcription factor 2	593	11	6	18
128360	OR10T2 olfactory receptor family 10 subfamily T member 2	314	1	1	1
102724971	LOC102724971 putative V-set and immunoglobulin domain-containing-like protein IGHV4OR15-8	222	1	1	2
30061	SLC40A1 solute carrier family 40 member 1	571	3	2	8
30062	RAX retina and anterior neural fold homeobox	346	1	1	3
128367	OR10X1 olfactory receptor family 10 subfamily X member 1 (gene/pseudogene)	326	1	1	1
128368	OR10Z1 olfactory receptor family 10 subfamily Z member 1	313	1	1	1
200312	RNF215 ring finger protein 215	377	1	1	9
26097	CHTOP chromatin target of PRMT1	249	5	5	6
128372	OR6N1 olfactory receptor family 6 subfamily N member 1	312	4	1	2
161142	FAM71D family with sequence similarity 71 member D	422	4	1	6
161145	TMEM229B transmembrane protein 229B	167	10	1	1
643677	CCDC168 coiled-coil domain containing 168	7081	2	2	7
22824	HSPA4L heat shock protein family A (Hsp70) member 4 like	870	5	5	24
55558	PLXNA3 plexin A3	1871	5	5	37
128387	TATDN3 TatD DNase domain containing 3	281	10	10	16
100506084	ARL17B ADP ribosylation factor like GTPase 17B	177	11	8	12
5017	OVOL1 ovo like transcriptional repressor 1	267	6	2	4
161176	SYNE3 spectrin repeat containing nuclear envelope family member 3	975	6	4	22
23515	MORC3 MORC family CW-type zinc finger 3	939	6	3	18
201626	PDE12 phosphodiesterase 12	609	3	3	5
128414	NKAIN4 sodium/potassium transporting ATPase interacting 4	208	10	6	9
201627	DENND6A DENN domain containing 6A	608	4	4	23
10481	HOXB13 homeobox B13	284	1	1	2
27190	IL17B interleukin 17B	180	6	3	4
161198	CLEC14A C-type lectin domain containing 14A	490	1	1	1
128434	VSTM2L V-set and transmembrane domain containing 2 like	204	2	2	5
119710	C11orf74 chromosome 11 open reading frame 74	221	9	2	6
22826	DNAJC8 DnaJ heat shock protein family (Hsp40) member C8	253	1	1	9
95681	CEP41 centrosomal protein 41	373	6	5	13
390594	KBTBD13 kelch repeat and BTB domain containing 13	458	1	1	1
390595	UBAP1L ubiquitin associated protein 1 like	381	3	3	9
390598	SKOR1 SKI family transcriptional corepressor 1	868	2	2	18
201633	TIGIT T cell immunoreceptor with Ig and ITIM domains	244	3	3	7
387264	KRTAP5-1 keratin associated protein 5-1	278	1	1	1
83930	STARD3NL STARD3 N-terminal like	234	11	2	8
390616	ANKRD34C ankyrin repeat domain 34C	535	1	1	1
643680	MS4A4E membrane spanning 4-domains A4E	229	5	5	13
55848	PLGRKT plasminogen receptor with a C-terminal lysine	147	4	2	4
161247	FITM1 fat storage inducing transmembrane protein 1	292	1	1	2
161253	REM2 RRAD and GEM like GTPase 2	340	5	5	11
128486	FITM2 fat storage inducing transmembrane protein 2	262	1	1	2
152992	TRMT44 tRNA methyltransferase 44 homolog	757	8	7	20
128488	WFDC12 WAP four-disulfide core domain 12	111	1	1	3
100130733	LRRC70 leucine rich repeat containing 70	622	1	1	1
594855	CPLX3 complexin 3	158	1	1	3
390637	GDPGP1 GDP-D-glucose phosphorylase 1	385	2	1	1
10493	VAT1 vesicle amine transport 1	393	1	1	6
128497	SPATA25 spermatogenesis associated 25	227	1	1	2
6461	SHB SH2 domain containing adaptor protein B	509	1	1	6
594857	NPS neuropeptide S	89	1	1	3
390648	OR4F6 olfactory receptor family 4 subfamily F member 6	312	1	1	1
390649	OR4F15 olfactory receptor family 4 subfamily F member 15	312	1	1	1
128506	OCSTAMP osteoclast stimulatory transmembrane protein	566	2	2	6
26227	PHGDH phosphoglycerate dehydrogenase	533	5	5	18
81493	SYNC syncoilin, intermediate filament protein	482	2	2	5
102725121	LOC102725121 DEAD/H-box helicase 11 pseudogene	133	5	2	4
220323	OAF out at first homolog	273	1	1	4
390664	C1QTNF8 C1q and TNF related 8	252	2	1	2
161291	TMEM30B transmembrane protein 30B	351	1	1	1
6462	SHBG sex hormone binding globulin	402	8	7	12
1728	NQO1 NAD(P)H quinone dehydrogenase 1	274	4	4	7
200894	ARL13B ADP ribosylation factor like GTPase 13B	428	11	6	15
387332	TBPL2 TATA-box binding protein like 2	375	1	1	7
54472	TOLLIP toll interacting protein	274	6	6	7
23333	DPY19L1 dpy-19 like C-mannosyltransferase 1	675	3	3	23
128553	TSHZ2 teashirt zinc finger homeobox 2	1034	4	3	5
651746	ANKRD33B ankyrin repeat domain 33B	494	3	2	4
63027	SLC22A23 solute carrier family 22 member 23	686	12	9	18
360030	NANOGNB NANOG neighbor homeobox	188	1	1	4
10505	SEMA4F ssemaphorin 4F	770	9	9	21
63035	BCORL1 BCL6 corepressor like 1	1785	12	4	14
63036	CELA2A chymotrypsin like elastase family member 2A	269	1	1	8
85025	TMEM60 transmembrane protein 60	133	1	1	1
65121	PRAMEF1 PRAME family member 1	474	2	2	4
161357	MDGA2 MAM domain containing glycosylphosphatidylinositol anchor 2	956	7	7	23
56656	OR2S2 olfactory receptor family 2 subfamily S member 2 (gene/pseudogene)	319	1	1	1
55565	ZNF821 zinc finger protein 821	412	31	7	11
128602	C20orf85 chromosome 20 open reading frame 85	137	1	1	4
390748	PABPN1L poly(A) binding protein nuclear 1 like, cytoplasmic	278	3	2	9
65125	WNK1 WNK lysine deficient protein kinase 1	2642	24	24	35
283579	C14orf178 chromosome 14 open reading frame 178	122	2	2	3
161394	SAMD15 sterile alpha motif domain containing 15	674	1	1	3
3192	HNRNPU heterogeneous nuclear ribonucleoprotein U	825	5	2	19
128637	TBC1D20 TBC1 domain family member 20	403	4	2	13
7809	BSND barttin CLCNK type accessory beta subunit	320	1	1	4
390790	ARL5C ADP ribosylation factor like GTPase 5C	179	1	1	6
91574	C12orf65 chromosome 12 open reading frame 65	166	5	1	3
390792	KRT39 keratin 39	491	1	1	7
128653	C20orf141 chromosome 20 open reading frame 141	165	2	1	3
161424	NOP9 NOP9 nucleolar protein	636	5	5	16
124590	USH1G USH1 protein network component sans	461	3	2	3
1917	EEF1A2 eukaryotic translation elongation factor 1 alpha 2	463	1	1	7
161436	EML5 echinoderm microtubule associated protein like 5	1977	19	18	60
191585	PLAC4 placenta specific 4	150	1	1	1
128674	PROKR2 prokineticin receptor 2	384	3	2	4
101929926	TEX51 testis expressed 51	166	15	13	14
652968	CASTOR1 cytosolic arginine sensor for mTORC1 subunit 1	329	1	1	9
9804	TOMM20 translocase of outer mitochondrial membrane 20	145	1	1	5
22834	ZNF652 zinc finger protein 652	606	3	2	7
55568	GALNT10 polypeptide N-acetylgalactosaminyltransferase 10	603	1	1	12
9293	GPR52 G protein-coupled receptor 52	361	1	1	1
79573	TTC13 tetratricopeptide repeat domain 13	860	16	15	30
100129654	TCF24 transcription factor 24	167	2	1	3
317719	KLHL10 kelch like family member 10	608	2	1	7
157983	C9orf66 chromosome 9 open reading frame 66	295	1	1	1
652991	SKOR2 SKI family transcriptional corepressor 2	1015	3	2	11
128710	SLX4IP SLX4 interacting protein	408	8	6	15
90485	ZNF835 zinc finger protein 835	537	3	1	2
153396	TMEM161B transmembrane protein 161B	502	29	15	23
54221	SNTG2 syntrophin gamma 2	539	16	14	34
139628	FOXR2 forkhead box R2	311	1	1	1
161497	STRC stereocilin	1775	11	10	39
390874	ONECUT3 one cut homeobox 3	494	1	1	2
390877	LOC390877 adenylate kinase isoenzyme 1-like	118	3	3	4
161502	CFAP161 cilia and flagella associated protein 161	301	4	3	9
83939	EIF2A eukaryotic translation initiation factor 2A	585	6	6	19
349136	WDR86 WD repeat domain 86	482	15	14	12
653509	SFTPA1 surfactant protein A1	263	8	4	9
390883	OR7G3 olfactory receptor family 7 subfamily G member 3	312	1	1	1
60314	C12orf10 chromosome 12 open reading frame 10	376	1	1	7
161514	TBC1D21 TBC1 domain family member 21	336	9	9	18
390892	OR7A10 olfactory receptor family 7 subfamily A member 10	309	1	1	1
4287	ATXN3 ataxin 3	361	12	12	11
5075	PAX1 paired box 1	534	2	2	6
9743	ARHGAP32 Rho GTPase activating protein 32	2087	9	8	29
10539	GLRX3 glutaredoxin 3	335	4	2	12
390916	NUDT19 nudix hydrolase 19	375	2	2	5
22837	COBLL1 cordon-bleu WH2 repeat protein like 1	1233	4	4	19
55850	USE1 unconventional SNARE in the ER 1	259	3	3	10
55571	CNOT11 CCR4-NOT transcription complex subunit 11	510	1	1	7
653067	XAGE1B X antigen family member 1B	81	4	4	7
390927	ZNF793 zinc finger protein 793	406	3	1	4
390928	ACP7 acid phosphatase 7, tartrate resistant (putative)	438	6	4	18
256302	NATD1 N-acetyltransferase domain containing 1	113	1	1	3
28977	MRPL42 mitochondrial ribosomal protein L42	142	2	1	6
390937	LOC390937 Ets2 repressor factor-like	341	1	1	5
653082	ZDHHC11B zinc finger DHHC-type containing 11B	445	16	8	16
285533	RNF175 ring finger protein 175	328	9	9	20
390940	PINLYP phospholipase A2 inhibitor and LY6/PLAUR domain containing	228	5	2	7
90488	TMEM263 transmembrane protein 263	116	7	3	4
55572	FOXRED1 FAD dependent oxidoreductase domain containing 1	486	12	5	15
221424	LRRC73 leucine rich repeat containing 73	316	2	2	6
161582	DNAAF4 dynein axonemal assembly factor 4	420	3	3	10
349149	GJC3 gap junction protein gamma 3	279	1	1	2
128817	CSTL1 cystatin like 1	145	1	1	3
200315	APOBEC3A apolipoprotein B mRNA editing enzyme catalytic subunit 3A	199	2	2	6
128821	CST9L cystatin 9 like	147	1	1	3
128822	CST9 cystatin 9	159	1	1	2
81545	FBXO38 F-box protein 38	1113	9	8	24
127428	TCEANC2 transcription elongation factor A N-terminal and central domain containing 2	208	2	2	5
128826	MIR1-1HG MIR1-1 host gene	117	2	1	3
653121	ZBTB8A zinc finger and BTB domain containing 8A	441	2	2	4
390980	ZNF805 zinc finger protein 805	627	2	2	4
390992	HES3 hes family bHLH transcription factor 3	186	1	1	3
127294	MYOM3 myomesin 3	1437	1	1	36
653140	FAM228A family with sequence similarity 228 member A	206	1	1	5
128853	DUSP15 dual specificity phosphatase 15	295	14	9	18
390999	PRAMEF12 PRAME family member 12	483	1	1	3
653145	ANXA8 annexin A8	365	8	8	18
391002	PRAMEF8 PRAME family member 8	474	2	1	5
391003	PRAMEF18 PRAME family member 18	479	1	1	3
391004	PRAMEF17 PRAME family member 17	474	1	1	3
128861	BPIFA3 BPI fold containing family A member 3	254	2	2	7
128864	C20orf144 chromosome 20 open reading frame 144	153	1	1	2
128866	CHMP4B charged multivesicular body protein 4B	224	1	1	5
340359	KLHL38 kelch like family member 38	581	2	1	5
391013	PLA2G2C phospholipase A2 group IIC	150	2	2	7
128876	FAM83C family with sequence similarity 83 member C	747	1	1	4
27094	KCNMB3 potassium calcium-activated channel subfamily M regulatory beta subunit 3	279	5	5	8
120227	CYP2R1 cytochrome P450 family 2 subfamily R member 1	501	11	5	10
161003	STOML3 stomatin like 3	291	3	3	9
100526832	PHOSPHO2-KLHL23 PHOSPHO2-KLHL23 readthrough	558	1	1	3
286133	SCARA5 scavenger receptor class A member 5	495	1	1	8
343702	XKR7 XK related 7	579	1	1	3
81559	TRIM11 tripartite motif containing 11	468	3	3	9
391059	FRRS1 ferric chelate reductase 1	626	5	3	18
89894	TMEM116 transmembrane protein 116	337	23	10	17
101927844	LOC101927844 uncharacterized LOC101927844	115	2	1	2
55576	STAB2 stabilin 2	2551	7	7	75
81563	C1orf21 chromosome 1 open reading frame 21	121	1	1	5
653220	XAGE1A X antigen family member 1A	81	4	4	7
163486	DENND1B DENN domain containing 1B	775	16	13	31
26953	RANBP6 RAN binding protein 6	753	4	4	6
22843	PPM1E protein phosphatase, Mg2+/Mn2+ dependent 1E	755	4	3	8
128954	GAB4 GRB2 associated binding protein family member 4	574	7	7	16
55577	NAGK N-acetylglucosamine kinase	390	6	3	11
161725	OTUD7A OTU deubiquitinase 7A	926	1	1	11
653247	PRB2 proline rich protein BstNI subfamily 2	416	1	1	3
391104	VHLL VHL like	139	1	1	1
391107	OR10K2 olfactory receptor family 10 subfamily K member 2	312	1	1	1
391109	OR10K1 olfactory receptor family 10 subfamily K member 1	313	1	1	1
391112	OR6Y1 olfactory receptor family 6 subfamily Y member 1	325	1	1	1
391114	OR6K3 olfactory receptor family 6 subfamily K member 3	315	1	1	1
161742	SPRED1 sprouty related EVH1 domain containing 1	444	3	3	10
43849	KLK12 kallikrein related peptidase 12	254	5	4	9
391123	VSIG8 V-set and immunoglobulin domain containing 8	414	1	1	7
50614	GALNT9 polypeptide N-acetylgalactosaminyltransferase 9	603	8	7	18
56910	STARD7 StAR related lipid transfer domain containing 7	370	2	2	8
161753	ODF3L1 outer dense fiber of sperm tails 3 like 1	274	2	2	7
55578	SUPT20H SPT20 homolog, SAGA complex component	779	28	22	30
653275	CFC1B cripto, FRL-1, cryptic family 1B	223	2	2	8
